cidade,uf,url
Patrocínio,MG,https://www.leis.patrocinio.mg.gov.br/publica/
Caratinga,MG,https://caratinga.mg.gov.br/servicos/diario-oficial/
Unaí,MG,https://www.diariomunicipal.com.br/amm-mg/
Esmeraldas,MG,https://www.esmeraldas.mg.gov.br/portal/diario-oficial
Timóteo,MG,https://www.timoteo.mg.gov.br/
Curvelo,MG,https://pmagil.curvelo.mg.gov.br/pmAgilNet/Default.aspx
João Monlevade,MG,https://pmjm.mg.gov.br/legislacao_view/8
Alfenas,MG,https://www.alfenas.mg.gov.br/publicacoes/diario-oficial
Viçosa,MG,https://cultura.vicosa.mg.gov.br/diario-eletronico
Três Corações,MG,https://trescoracoes.mg.gov.br/diariooficial
Lagoa Santa,MG,https://www.lagoasanta.mg.gov.br/informacao-diario-oficial
Ouro Preto,MG,https://cmop.mg.gov.br/diario-oficial/
São Sebastião do Paraíso,MG,https://www.ssparaiso.mg.gov.br/jornal
Janaúba,MG,https://www.janauba.mg.leg.br/diario-oficial
Formiga,MG,NOT_FOUND
Cataguases,MG,https://cataguases.mg.gov.br/jornais-anteriores/
Januária,MG,URL não encontrada após busca
Pedro Leopoldo,MG,https://pedroleopoldo.mg.gov.br/
Mariana,MG,https://mariana.mg.gov.br/diario-oficial-pmm
Frutal,MG,https://frutal.publicabrasil.net/
