cidade,uf,url
Sabará,MG,https://mg.portaldatransparencia.com.br/prefeitura/sabara/
Vespasiano,MG,https://www.vespasiano.mg.gov.br/diario-oficial/
Barbacena,MG,https://www1.barbacena.mg.gov.br/portal/diario-oficial
Araguari,MG,https://araguari.mg.gov.br/correio
Itabira,MG,https://meioambiente.itabira.mg.gov.br/diario-eletronico
Passos,MG,https://www.passos.mg.gov.br/portal/diario-oficial
Nova Lima,MG,https://novalima.mg.gov.br/inicio/publicacoes-oficiais
Araxá,MG,https://www.araxa.mg.gov.br/doma-listar
Nova Serrana,MG,https://www.novaserrana.mg.gov.br/portal/diario-oficial
Lavras,MG,http://www.lavras.mg.gov.br/diario-oficial
Coronel Fabriciano,MG,https://diario.fabriciano.mg.gov.br/
Muriaé,MG,https://www.diariomunicipal.com.br/amm-mg/
Ubá,MG,https://servidor.uba.mg.gov.br/diario-eletronico
Ituiutaba,MG,https://www.ituiutaba.mg.gov.br/diariooficial/
Itaúna,MG,https://www.itauna.mg.gov.br/portal/diario-oficial
Pará de Minas,MG,https://diario.parademinas.mg.gov.br/
Paracatu,MG,https://www.paracatu.mg.gov.br/portal/diario-oficial
Itajubá,MG,https://imprensaoficialmunicipal.com.br/itajuba
Manhuaçu,MG,https://controladoria.manhuacu.mg.gov.br/diario-eletronico
São João del-Rei,MG,https://saojoaodelrei.mg.gov.br/pagina/9837/Diario%20Oficial
