cidade,uf,url
Ponte Nova,MG,https://www.pontenova.mg.gov.br/
Pirapora,MG,https://prefeitura.kingpage.com.br/diario-oficial-eletronico/
Três Pontas,MG,https://www.trespontas.mg.gov.br/
Extrema,MG,https://extrema.mg.gov.br/diariooficial
Itabirito,MG,https://transparenciaitabirito.pmi.mg.gov.br/
Congonhas,MG,https://dom.congonhas.mg.gov.br/diario
São Francisco,MG,https://www.saofrancisco.mg.gov.br/
Campo Belo,MG,https://www.campobelo.mg.gov.br/portal/diario-oficial
Bom Despacho,MG,https://www.bomdespacho.mg.gov.br/dome
Lagoa da Prata,MG,https://www.lagoadaprata.mg.gov.br/portal/diario-oficial
Leopoldina,MG,https://www.leopoldina.mg.gov.br/
Guaxupé,MG,https://www.guaxupe.mg.gov.br/atos-oficiais
Bocaiuva,MG,https://bocaiuva.mg.gov.br/diario_oficial
Diamantina,MG,https://www.diamantina.mg.gov.br/portal/diario-oficial
Monte Carmelo,MG,https://www.montecarmelo.mg.gov.br/diario-oficial
João Pinheiro,MG,https://www.joaopinheiro.mg.gov.br/
Igarapé,MG,https://www.igarape.mg.gov.br/diario-eletronico
Santana do Paraíso,MG,https://www.santanadoparaiso.mg.gov.br/servicos-por-publico-alvo/publico/servicos-para-cidadao/1
São Lourenço,MG,https://www.saolourenco.mg.gov.br/poficiais.php
Santos Dumont,MG,https://www.santosdumont.mg.gov.br/noticiasInterna/governo-municipal-implanta-diario-oficial-do-municipio
